Date,State,Abbreviation,Regular,Mid-Grade,Premium,Diesel
2026-04-04,New Hampshire,NH,3.907,4.432,4.892,5.777
2026-04-04,New Jersey,NJ,4.082,4.598,4.87,5.88
2026-04-04,New Mexico,NM,3.986,4.41,4.721,5.415
2026-04-04,New York,NY,4.052,4.534,4.927,5.891
2026-04-04,North Carolina,NC,3.932,4.374,4.77,5.761
2026-04-04,North Dakota,ND,3.456,3.808,4.217,4.647
2026-04-04,Ohio,OH,3.766,4.286,4.803,5.161
2026-04-04,Oklahoma,OK,3.285,3.697,3.977,4.571
2026-04-04,Oregon,OR,4.982,5.226,5.5,6.225
2026-04-04,Pennsylvania,PA,4.138,4.562,4.944,6.06
2026-04-04,Rhode Island,RI,3.968,4.634,5.021,5.795
2026-04-04,South Carolina,SC,3.829,4.265,4.663,5.539
2026-04-04,South Dakota,SD,3.549,3.694,4.217,4.686
2026-04-04,Tennessee,TN,3.853,4.308,4.718,5.396
2026-04-04,Texas,TX,3.824,4.305,4.678,5.185
2026-04-04,Utah,UT,4.173,4.452,4.701,5.454
2026-04-04,Vermont,VT,4.062,4.527,4.973,5.882
2026-04-04,Virginia,VA,4.053,4.511,4.888,5.779
2026-04-04,Washington,WA,5.376,5.649,5.894,6.787
2026-04-04,West Virginia,WV,3.971,4.4,4.851,5.508
2026-04-04,Wisconsin,WI,3.814,4.299,4.898,4.864
2026-04-04,Wyoming,WY,3.837,4.15,4.44,5.01
